DateTime,ppm
7/4/2019 12:54,840
7/4/2019 12:55,830
7/4/2019 12:55,810
7/4/2019 12:55,740
7/4/2019 12:55,670
7/4/2019 12:55,620
7/4/2019 12:55,610
7/4/2019 12:55,590
7/4/2019 12:55,560
7/4/2019 12:55,530
7/4/2019 12:55,510
7/4/2019 12:55,510
7/4/2019 12:55,530
7/4/2019 12:56,570
7/4/2019 12:56,630
7/4/2019 12:56,630
7/4/2019 12:56,580
7/4/2019 12:56,510
7/4/2019 12:56,480
7/4/2019 12:56,520
7/4/2019 12:56,570
7/4/2019 12:56,590
7/4/2019 12:56,600
7/4/2019 12:56,630
7/4/2019 12:56,660
7/4/2019 12:57,670
7/4/2019 12:57,640
7/4/2019 12:57,590
7/4/2019 12:57,550
7/4/2019 12:57,500
7/4/2019 12:57,450
7/4/2019 12:57,440
7/4/2019 12:57,460
7/4/2019 12:57,490
7/4/2019 12:57,510
7/4/2019 12:57,520
