Serial_number:,,,,
2020421,,,,
Project ID:,,,,
,,,,
Location:,,,,
,,,,
LEVEL,,,,
UNIT: kPa,,,,
Offset: 0.000000 kPa,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
7/10/2019,11:57:00 AM,0,0.1068,10.132
7/10/2019,12:12:00 PM,0,0.0723,8.1
7/10/2019,12:27:00 PM,0,0.0703,8.231
7/10/2019,12:42:00 PM,0,0.0645,9.05
7/10/2019,12:57:00 PM,0,0.0801,9.743
7/10/2019,1:12:00 PM,0,0.058,9.046
7/10/2019,1:27:00 PM,0,0.0417,9.308
7/10/2019,1:42:00 PM,0,0.0459,10.837
7/10/2019,1:57:00 PM,0,0.2622,11.693
7/10/2019,2:12:00 PM,0,0.2801,11.93
7/10/2019,2:27:00 PM,0,0.269,12.111
7/10/2019,2:42:00 PM,0,0.2566,12.238
7/10/2019,2:57:00 PM,0,0.2528,12.04
7/10/2019,3:12:00 PM,0,0.279,11.804
7/10/2019,3:27:00 PM,0,0.2453,11.583
7/10/2019,3:42:00 PM,0,0.2241,11.368
7/10/2019,3:57:00 PM,0,0.2456,11.249
7/10/2019,4:12:00 PM,0,0.2448,11.215
7/10/2019,4:27:00 PM,0,0.2045,11.054
7/10/2019,4:42:00 PM,0,0.2211,10.843
7/10/2019,4:57:00 PM,0,0.2016,10.571
7/10/2019,5:12:00 PM,0,0.1944,10.375
7/10/2019,5:27:00 PM,0,0.177,10.129
7/10/2019,5:42:00 PM,0,0.211,9.861
7/10/2019,5:57:00 PM,0,0.1915,9.554
7/10/2019,6:12:00 PM,0,0.1762,9.28
7/10/2019,6:27:00 PM,0,0.1815,9.02
7/10/2019,6:42:00 PM,0,0.1819,8.777
7/10/2019,6:57:00 PM,0,0.1569,8.536
7/10/2019,7:12:00 PM,0,0.1754,8.305
7/10/2019,7:27:00 PM,0,0.1819,8.092
7/10/2019,7:42:00 PM,0,0.1275,7.897
7/10/2019,7:57:00 PM,0,0.1243,7.701
7/10/2019,8:12:00 PM,0,0.1008,7.491
7/10/2019,8:27:00 PM,0,0.1522,7.272
7/10/2019,8:42:00 PM,0,0.1417,7.12
7/10/2019,8:57:00 PM,0,0.1119,6.914
7/10/2019,9:12:00 PM,0,0.0999,6.699
7/10/2019,9:27:00 PM,0,0.1055,6.526
7/10/2019,9:42:00 PM,0,0.0922,6.346
7/10/2019,9:57:00 PM,0,0.0691,6.169
7/10/2019,10:12:00 PM,0,0.0637,6.001
7/10/2019,10:27:00 PM,0,0.0837,5.882
7/10/2019,10:42:00 PM,0,0.0617,5.754
7/10/2019,10:57:00 PM,0,0.0618,5.607
7/10/2019,11:12:00 PM,0,0.0633,5.493
7/10/2019,11:27:00 PM,0,0.0806,5.386
7/10/2019,11:42:00 PM,0,0.0625,5.294
7/10/2019,11:57:00 PM,0,0.03,5.195
7/11/2019,12:12:00 AM,0,0.0501,5.059
7/11/2019,12:27:00 AM,0,0.0361,4.957
7/11/2019,12:42:00 AM,0,0.0556,4.864
7/11/2019,12:57:00 AM,0,0.0589,4.814
7/11/2019,1:12:00 AM,0,0.0204,4.763
7/11/2019,1:27:00 AM,0,0.0328,4.716
7/11/2019,1:42:00 AM,0,0.0198,4.655
7/11/2019,1:57:00 AM,0,0.029,4.598
7/11/2019,2:12:00 AM,0,0.0154,4.496
7/11/2019,2:27:00 AM,0,0.0274,4.401
7/11/2019,2:42:00 AM,0,0.0386,4.374
7/11/2019,2:57:00 AM,0,0.0404,4.291
7/11/2019,3:12:00 AM,0,0.0272,4.215
7/11/2019,3:27:00 AM,0,0.0224,4.147
7/11/2019,3:42:00 AM,0,0.024,4.025
7/11/2019,3:57:00 AM,0,0.0207,3.947
7/11/2019,4:12:00 AM,0,0.0422,3.925
7/11/2019,4:27:00 AM,0,0.026,3.885
7/11/2019,4:42:00 AM,0,0.0151,3.862
7/11/2019,4:57:00 AM,0,0.0358,3.837
7/11/2019,5:12:00 AM,0,0.0502,3.81
7/11/2019,5:27:00 AM,0,0.0332,3.802
7/11/2019,5:42:00 AM,0,0.0417,3.749
7/11/2019,5:57:00 AM,0,0.0544,3.665
7/11/2019,6:12:00 AM,0,0.007,3.624
7/11/2019,6:27:00 AM,0,0.0377,3.562
7/11/2019,6:42:00 AM,0,0.0151,3.504
7/11/2019,6:57:00 AM,0,0.0525,3.45
7/11/2019,7:12:00 AM,0,0.0524,3.407
7/11/2019,7:27:00 AM,0,0.0416,3.352
7/11/2019,7:42:00 AM,0,0.054,3.36
7/11/2019,7:57:00 AM,0,0.0321,3.513
7/11/2019,8:12:00 AM,0,0.0344,3.79
7/11/2019,8:27:00 AM,0,0.0197,4.15
7/11/2019,8:42:00 AM,0,0.0388,4.554
7/11/2019,8:57:00 AM,0,0.0226,4.996
7/11/2019,9:12:00 AM,0,0.0418,5.434
7/11/2019,9:27:00 AM,0,0.0469,5.725
7/11/2019,9:42:00 AM,0,0.0545,5.98
7/11/2019,9:57:00 AM,0,0.0274,6.23
7/11/2019,10:12:00 AM,0,0.0185,6.614
7/11/2019,10:27:00 AM,0,0.0242,7.263
7/11/2019,10:42:00 AM,0,0.0128,7.858
7/11/2019,10:57:00 AM,0,0.0196,8.471
7/11/2019,11:12:00 AM,0,0.0468,9.064
7/11/2019,11:27:00 AM,0,0.0244,9.673
7/11/2019,11:42:00 AM,0,0.0372,10.075
7/11/2019,11:57:00 AM,0,-0.0071,10.421
7/11/2019,12:12:00 PM,0,0.0649,14.963
7/11/2019,12:27:00 PM,0,0.1674,12.326
7/11/2019,12:42:00 PM,0,0.1903,12.433
7/11/2019,12:57:00 PM,0,0.1635,12.781
7/11/2019,1:12:00 PM,0,0.1518,13.267
7/11/2019,1:27:00 PM,0,0.2068,13.822
7/11/2019,1:42:00 PM,0,1.6908,14.725
7/11/2019,1:57:00 PM,0,1.759,14.963
7/11/2019,2:12:00 PM,0,1.8389,15.049
7/11/2019,2:27:00 PM,0,1.7773,15
7/11/2019,2:42:00 PM,0,1.7928,14.683
7/11/2019,2:57:00 PM,0,1.7927,14.356
7/11/2019,3:12:00 PM,0,1.7721,14.017
7/11/2019,3:27:00 PM,0,1.7749,13.623
7/11/2019,3:42:00 PM,0,1.7903,13.281
7/11/2019,3:57:00 PM,0,1.7939,13.011
7/11/2019,4:12:00 PM,0,1.7107,12.932
7/11/2019,4:27:00 PM,0,1.7963,12.646
7/11/2019,4:42:00 PM,0,1.8231,12.495
7/11/2019,4:57:00 PM,0,1.8159,12.396
7/11/2019,5:12:00 PM,0,1.8207,12.352
7/11/2019,5:27:00 PM,0,1.7986,12.204
7/11/2019,5:42:00 PM,0,1.8102,11.957
7/11/2019,5:57:00 PM,0,1.7732,11.684
7/11/2019,6:12:00 PM,0,1.7783,11.459
7/11/2019,6:27:00 PM,0,1.8276,11.217
7/11/2019,6:42:00 PM,0,1.7616,10.963
7/11/2019,6:57:00 PM,0,1.7984,10.761
7/11/2019,7:12:00 PM,0,1.789,10.586
7/11/2019,7:27:00 PM,0,1.7392,10.436
7/11/2019,7:42:00 PM,0,1.7475,10.308
7/11/2019,7:57:00 PM,0,1.7227,10.19
7/11/2019,8:12:00 PM,0,1.6977,10.076
7/11/2019,8:27:00 PM,0,1.7288,9.966
7/11/2019,8:42:00 PM,0,1.6863,9.837
7/11/2019,8:57:00 PM,0,1.7427,9.72
7/11/2019,9:12:00 PM,0,1.7961,9.611
7/11/2019,9:27:00 PM,0,1.7778,9.505
7/11/2019,9:42:00 PM,0,1.7885,9.414
7/11/2019,9:57:00 PM,0,1.7883,9.319
7/11/2019,10:12:00 PM,0,1.7557,9.23
7/11/2019,10:27:00 PM,0,1.8074,9.14
7/11/2019,10:42:00 PM,0,1.7484,9.046
7/11/2019,10:57:00 PM,0,1.7626,8.972
7/11/2019,11:12:00 PM,0,1.7499,8.895
7/11/2019,11:27:00 PM,0,1.7801,8.843
7/11/2019,11:42:00 PM,0,1.7609,8.784
7/11/2019,11:57:00 PM,0,1.7608,8.716
7/12/2019,12:12:00 AM,0,1.7741,8.632
7/12/2019,12:27:00 AM,0,1.7471,8.571
7/12/2019,12:42:00 AM,0,1.7827,8.508
7/12/2019,12:57:00 AM,0,1.7551,8.453
7/12/2019,1:12:00 AM,0,1.7504,8.403
7/12/2019,1:27:00 AM,0,1.7834,8.331
7/12/2019,1:42:00 AM,0,1.7603,8.273
7/12/2019,1:57:00 AM,0,1.7438,8.224
7/12/2019,2:12:00 AM,0,1.7465,8.168
7/12/2019,2:27:00 AM,0,1.7819,8.11
7/12/2019,2:42:00 AM,0,1.7935,8.054
7/12/2019,2:57:00 AM,0,1.7696,8.004
7/12/2019,3:12:00 AM,0,1.7721,7.966
7/12/2019,3:27:00 AM,0,1.7176,7.928
7/12/2019,3:42:00 AM,0,1.7549,7.888
7/12/2019,3:57:00 AM,0,1.7545,7.848
7/12/2019,4:12:00 AM,0,1.7436,7.798
7/12/2019,4:27:00 AM,0,1.7564,7.741
7/12/2019,4:42:00 AM,0,1.723,7.683
7/12/2019,4:57:00 AM,0,1.7324,7.626
7/12/2019,5:12:00 AM,0,1.7574,7.556
7/12/2019,5:27:00 AM,0,1.7685,7.486
7/12/2019,5:42:00 AM,0,1.7563,7.423
7/12/2019,5:57:00 AM,0,1.7839,7.37
7/12/2019,6:12:00 AM,0,1.7585,7.315
7/12/2019,6:27:00 AM,0,1.7822,7.265
7/12/2019,6:42:00 AM,0,1.7914,7.218
7/12/2019,6:57:00 AM,0,1.7917,7.188
7/12/2019,7:12:00 AM,0,1.8053,7.183
7/12/2019,7:27:00 AM,0,1.8143,7.173
7/12/2019,7:42:00 AM,0,1.8255,7.195
7/12/2019,7:57:00 AM,0,1.7897,7.22
7/12/2019,8:12:00 AM,0,1.8253,7.308
7/12/2019,8:27:00 AM,0,1.7878,7.425
7/12/2019,8:42:00 AM,0,1.794,7.526
7/12/2019,8:57:00 AM,0,1.7982,7.626
7/12/2019,9:12:00 AM,0,1.8201,7.75
7/12/2019,9:27:00 AM,0,1.779,7.835
7/12/2019,9:42:00 AM,0,1.8168,7.99
7/12/2019,9:57:00 AM,0,1.833,8.134
7/12/2019,10:12:00 AM,0,1.8152,8.35
7/12/2019,10:27:00 AM,0,1.8074,8.605
7/12/2019,10:42:00 AM,0,1.8386,8.937
7/12/2019,10:57:00 AM,0,1.8318,9.373
7/12/2019,11:12:00 AM,0,1.8263,9.697
7/12/2019,11:27:00 AM,0,1.8632,9.941
7/12/2019,11:42:00 AM,0,1.8324,10.415
7/12/2019,11:57:00 AM,0,1.9173,10.448
7/12/2019,12:12:00 PM,0,1.9258,10.872
