"","Day","Sample","datesample","SampleNumber","Avg_iCO2","StdDev_iCO2","stderror","lowbound","highbound"
"1","july17","ecu2","july17 ecu2",119,-25.2763227029664,0.691607463617744,-0.0633995522431879,-25.14952359848,-25.4031218074528
"2","july17","ecu3","july17 ecu3",79,-25.3217237933165,0.414868614920759,-0.0466763659121284,-25.2283710614922,-25.4150765251408
"3","july23","ecu1","july23 ecu1",197,-24.0543804569543,0.578716007705752,-0.0412318083298152,-23.9719168402947,-24.1368440736139
"4","july23","ecu2","july23 ecu2",199,-25.0934836954523,0.910139760407349,-0.064518097008356,-24.9644475014356,-25.222519889469
"5","july23","ecu3","july23 ecu3",215,-25.3606878198744,0.782843170508011,-0.0533894610979582,-25.2539088976785,-25.4674667420703
"6","july30","ecu2","july30 ecu2",151,-25.1271063208477,0.859707586241084,-0.0699620111601005,-24.9871822985275,-25.2670303431679
"7","july30","ecu1","july30 ecu1",51,-23.5783012133333,0.688045215846208,-0.0963456012660198,-23.3856100108013,-23.7709924158653
"8","aug02","ecu3","aug02 ecu3",63,-23.7971331961587,0.95581887976235,-0.120421859727216,-23.5562894767043,-24.0379769156131
"9","aug02","ecu4","aug02 ecu4",61,-24.5586074885082,0.447793177464121,-0.0573340412977436,-24.4439394059127,-24.6732755711037
"10","aug09","ecu1","aug09 ecu1",43,-20.535056235186,0.466687833768286,-0.0711692274412839,-20.3927177803034,-20.6773946900686
"11","aug09","ecu2","aug09 ecu2",13,-23.5122406162308,0.107967090131672,-0.0299446830409527,-23.4523512501489,-23.5721299823127
"12","aug13","ecu3","aug13 ecu3",204,-24.3946098678824,0.979916902203138,-0.0686079061078739,-24.2573940556667,-24.5318256800981
"13","aug13","ecu4","aug13 ecu4",68,-24.2324436192059,0.703888157557698,-0.0853589771244646,-24.061725664957,-24.4031615734548
