"","Sample","Avg_iCO2","StdDev_iCO2"
"1","syn1",-15.1927150969552,0.488041723550058
"2","syn5",-12.9860299165302,0.357793207395362
"3","syn8",-14.4883626265449,0.215290164387248
"4","syn11",-14.9649372265655,0.284650173525752
"5","syn14",-13.6062493312242,0.362804177868761
"6","synBW",-13.9694745286778,0.235504761321452
"7","syn20",-16.4686472864646,0.209620359812965
"8","syn23",-15.4967744702279,0.286086678494429
"9","syn29",-13.9230413575876,0.614059021933183
"10","syn34",-13.8176119302468,0.312622722306467
