Stn,Date,Time,Discharge,Level
Station 1,7/10/2019,11:15,0.03925,
Station 1,7/11/2019,11:50,0.00675,
Station 1,7/12/2019,15:00,0.00912,0.1689
Station 1,7/16/2019,13:40,0.0113,0.224495
Station 1,7/19/2019,14:10,0.014345,0.1795
Station 1,7/22/2019,15:15,0.020525,0.2
Station 1,7/24/2019,13:00,0.060825,0.3119449
Station 1,8/1/2019,15:30,0.00605,0.1622
Station 1,8/2/2019,12:45,0.005875,0.1549
Station 1,8/5/2019,15:45,0.0114625,0.1954
Station 1,8/7/2019,10:43,0.001975,0.1523
Station 2,7/10/2019,12:00,0.010425,
Station 2,7/11/2019,12:15,0.0044,
Station 2,7/12/2019,12:30,0.00912,0.1750162
Station 2,7/15/2019,14:00,0.0351,0.4328
Station 2,7/19/2019,14:35,0.00818,0.1656
Station 2,7/22/2019,15:45,0.01788,0.2126
Station 2,7/24/2019,13:30,0.044,0.3212774
Station 2,7/26/2019,11:45,0.0169,0.2153
Station 2,8/2/2019,13:47,0.00455,0.1515247
Station 2,8/5/2019,16:15,0.01348,0.1919
Station 2,8/7/2019,11:00,0.00647,0.1527
Station 3,7/10/2019,15:30,0.04485,
Station 3,7/11/2019,13:00,0.039275,
Station 3,7/15/2019,14:45,0.06545,0.3039989
Station 3,7/16/2019,17:00,0.051075,0.2237776
Station 3,7/19/2019,13:45,0.0241,0.2159767
Station 3,7/22/2019,15:00,0.0462,0.24407
Station 3,7/24/2019,12:45,0.1437,0.3216809
Station 3,7/26/2019,11:30,0.060475,0.2443555
Station 3,8/1/2019,15:00,0.01395,0.1764
Station 3,8/2/2019,12:30,0.018575,0.1606059
Station 3,8/5/2019,15:30,0.037525,0.1955415
Station 3,8/7/2019,10:30,0.01675,0.1555787
Station 4,7/10/2019,13:00,0.0201,
Station 4,7/11/2019,13:45,0.027405,
Station 4,7/15/2019,15:00,0.1087,0.3039989
Station 4,7/16/2019,17:00,0.05055,0.2237776
Station 4,7/19/2019,13:15,0.010188,0.2154158
Station 4,7/22/2019,14:45,0.026025,0.2445391
Station 4,7/24/2019,12:30,0.0999,0.3194477
Station 4,7/26/2019,11:15,0.02805,0.2449062
Station 4,8/1/2019,14:30,0.00765,0.1767175
Station 4,8/2/2019,12:15,0.007075,0.1610852
Station 4,8/5/2019,15:15,0.0198,0.1981724
Station 4,8/7/2019,10:13,0.006825,0.1541409
